,item_name,category
0,"Durafit Seat Covers, Made to fit 1992-1995 Camry LE Wagon Front Bucket Seat Covers in Gray Velour",accessories
1,Poulan 580940901 Chainsaw Gas Cap,accessories
2,"Hopkins 39035 0.37  Convoluted Tubing""",accessories
3,"12Pack CR2032 Battery, CR2032 3V Lithium Battery with Solder Tabs for SNES, N64, Gameboy, Pokemon, Gameboy Color Game Battery Replacement",accessories
4,Aproca Hard Travel Storage Case Compatible with Philips Norelco Electric Shaver 4500 AT830/46/4100 AT810/46.,accessories
5,"Miniature Fairy Garden Sandcastle Sculptures, Set of 3",accessories
6,Coverking Custom Fit Front 50/50 Bucket Seat Cover for Select Chevrolet Express 1500/2500/3500 Models - Ballistic (Charcoal),accessories
7,3 Button 2015 Nissan Murano Pathfinder Proximity Smart Keyless Remote Includes Uncut Key And New Duracell Battery,accessories
8,CirKa Controller for N64 (Fire),accessories
9,"Adeco 4-Piece Car Vehicle Front Seat Protective Covers, Universal Fit, Solid Black",accessories
10,Bonsai Wellness Foam Wedge Seat Coccyx Cushion for Office Chair Or Car Seat,accessories
11,"Leatherman 930711 Nylon Sheath with Belt Loop, Black",accessories
12,Plasticolor 008610R01 Caterpillar CAT Logo Universal Fit Car Truck or SUV Sideless 2-Piece Seat Cover w/Head Rest,accessories
13,FIA NP99-35 Gray Custom Fit Front Seat Cover Bucket Seats - Neoprene (Black w/Gray Center Panel),accessories
14,RPKEY Silicone Keyless Entry Remote Control Key Fob Cover Case Protector Replacement Fit for Chevrolet Silverado 1500 2500 HD 3500 HD Colorado Tahoe Suburban Gmc Yukon Sierra 1500 Canyon M3N-32337100,accessories
15,TEST-100E 882 E Compatible Testing Forms (100 Sheet Pack),accessories
16,FH Group FB071115 + F11306 Travel Master Seat Covers (Red) Full Set   Universal Fit for Cars Trucks and SUVs,accessories
17,"New McCulloch CS380 18  Bar 38cc 2 Cycle Gas Powered Chain Saw Tree Chainsaw""",accessories
18,"Coverking Custom-Fit Front Bench Seat Cover - Velour Fabric , Tan",accessories
19,"Durafit Seat Covers, C1100-W8, 2003-2007 Chevy Silverado and GMC Sierra, Work Truck Seat Covers, Front 40/20/40 Split Seat with Manual Controls and Without Console, in Graphite, Velour Fabric",accessories
20,HIFROM(TM Replace Chain Brake Front Handle Hand Guard for Stihl 038 MS380 Chainsaw New AFTERMARKET # 1117 790 9100,accessories
21,AutoDecorun PU Leather Automotive Exact Fit Seat Covers for Audi A3 A4 A5 A6 A7 A1 A8 Q3 Q5 Q7 100 R8 TT Leatherette Car Seat Cover Set Full Cover Seats Protectors Interior Accessories (Brown),accessories
22,WaaHome Pack of 2 Rideshare Driver Sign 9’’X6’’ Waterproof Rating Tips Sign Ride-Share Accessories for car Driver,accessories
23,"Losi Wheel Hex Set (4): TENACITY ALL, LOS232031",accessories
24,WW2 German Waffen Elite Pioneer officer Gabardine Visor cap-59,accessories
25,M22 (Threaded) Trigger Gun for Gas and Electric Pressure Washers,accessories
26,16x18 Fairy Wings Butterfly Costume - Purple by eS by eS,accessories
27,"M.JVisun] Car Key Fob Cover for Ford Mustang Explorer Taurus F-150 Remote Key Engine Start Stop, Smart Car Key Case Cover Skin Protector, Aircraft Grade Aluminum + Genuine Leather Keychain - Black",accessories
28,"PERNICE Jeep Wrangler Seat Cover-JL,JK,TJ,YJ, CJ Car Seat Covers, Customized for 2013, 2014, 2015, 2016, 2017, 2018 Jeep 2DOOR, Combo Set, Water Resistant, Black/Red",accessories
29,Dragonfire Racing Highback Seat - Black,accessories
30,"Agric Replacement Tiller Tines Code 04503303 & 04503400 Full Set 70  Machine""",accessories
31,Car Seat Cover for Porsche Macan 911 997 Front+Rear Seats Protector Covers Waterproof Soft PU Leather Cushion 5-Seat Universal Pad Black Luxury 9PCS,accessories
32,Durafit Seat Covers Made to fit 2002-2010 F250-F550 Front and Back Set Exact Fit. Front 40/20/40 Split Bench Seat. Rear 60/40 Split Bench and Integrated Armrest with Cup Holders. Taupe Velour,accessories
33,"Traxxas 2222 TQ 2 Channel AM Transmitter, Villain EX",accessories
34,"Audew Rear Seat Release for Ford F-150 (2009+), F-250/350 (2017+)",accessories
35,"DUSICHIN DUS-103 Pressure Washer Wand Extension Pole 90 inches Replacement Lance Quick Connect 4000 PSI 7.5 Feet Fitting 1/4 "" 86 B07R3Y719R gl lawn and garden  N Accessories /categories/outdoor power tools/replacement parts & accessories/pressure washer parts & accessories/accessories  N 3023451 1 Mx39VE1M3GS1LN9 Tx3CS051K1ZQW0U B07R3Y719R 1 Will this work with sun joe pressure washer As long as you have the snap on connectors, it should. Even if you don’t t, the connectors can be changed to fit your system. 0 0 0 0 [] 45369259705 APTIC7RK7BBZ9 2019-12-25 09:38:28.692 2019-12-25 12:57:01.071 2019-12-25 09:38:28.864 2019-12-25 12:57:01.209 en en Universal adjustable 7.5 feet Extension Lance for power washer Adjust the total length of wand freely according to your needs. 6 pcs wands extends to 90 inch of reach. The length of every wand part is 15 inch Ideal for nozzle, undercarriage cleaner, water broom, surface cleaner and cleaning brushes. Also can used to get the out-of-reach areas such as siding, shutters, windows and more 1/4'' female socket connects to these pressure washer parts. 1/4''male quick disconnector connects to pressure washer spray gun Made of durable stainless steel. The working pressure is up to 4000 PSI 1/4'' quick disconnect fitting. Max working pressure is up to 4000 PSI. Material: stainless steel. O ring size: Outside Diameter is 14mm, Inside Diameter is 9mm. Ideal for nozzle, undercarriage cleaner, water broom, surface cleaner and cleaning brushes. Also can used to get the out-of-reach areas such as siding, shutters, windows and more.  DUSICHIN DUS-103 Pressure Washer Wand Extension Pole 90 inches Replacement Lance Quick Connect 4000 PSI 7.5 Feet Fitting 1/4 """"",accessories
