,store name,item name,category
0,TESCO,SPAGHETTI,groceries
1,TESCO,PASTA,groceries
2,WAITROSE & PARTNERS,WR SEA BREAM FILLETS,groceries
3,TESCO,YAKULT DRINK,drinks
4,TESCO,CC VEGETABLES 3 FOR 2 C/F,groceries
5,Sushi Jun,CALIFORNIA ROLL,eating out
6,LiDL,Maple and PecanPlait,groceries
7,TESCO,KITCHEN TOWELS,cleaning & laundry
8,TESCO,CC Butternut soup,groceries
9,TESCO,CC Ice cream,snacks
10,B&M,SIMPLE SOAP 2PK/125G,personal hygiene
11,TESCO,CC Jalfrezi sauce,snacks
12,TESCO,CAFE LATTE,drinks
13,TESCO,JALFREZI SAUCE,groceries
14,lidl,Echalion Shallots,groceries
15,TESCO,BEEF MINCE REDUCED PRICE,groceries
16,TESCO,TESCO GRLC500G,groceries
17,tesco,£3 MEAL DEAL,eating out
18,WAITROSE & PARTNERS,CC BELGN BTTR WFFLES,groceries
19,WAITROSE & PARTNERS,WR ESS CHICK DRMSTKS,groceries
20,TESCO,STEEL GARLIC,homeware
21,TESCO,KING PRAWNS,groceries
22,TESCO,CAFE LATTE,drinks
23,Sainsbury's,JS DBLE CHC COOKIES,snacks
24,TESCO,CC Slices,groceries
25,TESCO,ECLAIRS,snacks
26,TESCO,CONTI MEAT,groceries
27,TESCO,PORK SLICES,groceries
28,TESCO,FRESH MILK,groceries
29,WAITROSE & PARTNERS,WR BLUEBS,groceries
30,TESCO,TUNA,groceries
31,tesco,CC Chocolate,snacks
32,TESCO,CC Prawns,groceries
33,TESCO,FRESH MILK,groceries
34,TESCO,CC Ice cream,snacks
35,WAITROSE & PARTNERS,TANGERINES,groceries
36,tesco,FRUIT GUMS,snacks
37,LiDL,Chocol Chip Cookies,snacks
38,LiDL,Frosted Flakes,groceries
39,TESCO,GATEAU BAR,snacks
40,TESCO,SAUSAGE SLICES,groceries
41,COSTA,Latte Regular,drinks
42,lidl,Green Tee Peach,drinks
43,TESCO,KABANOS,groceries
44,TESCO,Kellogg's Crunchy Nut Chcolate Clusters 450g,groceries
45,LiDL,Baking Soda 170g,groceries
46,TESCO,SESAME BAGELS,groceries
47,TESCO,COOKED HAM,groceries
48,LiDL,Medium Loaf White,groceries
49,WAITROSE & PARTNERS,Burgers 2 for £7.50,groceries
50,WAITROSE & PARTNERS,TANGERINES,groceries
51,TESCO,GREEK YOGURT,groceries
52,ALDI,FERRERO,snacks
53,TESCO,PORK SNACK,snacks
54,TESCO,CKN DRUMSTICKS,groceries
55,OXFAM,C1A - POPULAR FICTION,entertainment
56,TESCO,SOFT CHEESE,groceries
57,TESCO,JUICE DRINK,drinks
58,TESCO,CONDITIONER,personal hygiene
59,TESCO,CHILLI CHEESE,groceries
60,TESCO,CEREAL,groceries
61,WAITROSE & PARTNERS,WR B/CHICKEN WINGS,groceries
62,LiDL,Soft Medium White,groceries
63,TESCO,F/RANGE EGGS,groceries
64,LiDL,Tuna in Brine,groceries
65,TESCO,CC Lychee drink,drinks
66,lidl,Tomato Passata,groceries
67,TESCO,FRSH DBL CRM,groceries
68,TESCO,CC Coffee beans,drinks
69,TESCO,BEEF MINCE,groceries
70,TESCO,PRAWNS,groceries
71,OXFAM,C1A - POPULAR FICTION,entertainment
72,WHLUNG SUPERMARKET,WW SHELLY SENBEI RICE CRACKERS 150G,snacks
73,lidl,Pak Choi 2Pk,groceries
74,TESCO,PORK SAUSAGES,groceries
75,WAITROSE & PARTNERS,WR AA SIRLOIN STEAK,groceries
76,TESCO,FRUIT JUICE,drinks
77,TESCO,SLICED BLOOM,groceries
78,TESCO,CC Pizza,groceries
79,Sainsbury's,*WALKERS MAX 50G,snacks
80,TESCO,CKN NUGGETS,groceries
81,TESCO,YOGHUTS,snacks
82,UNIQLO,W's rayon blouse,clothes & accesories
83,TESCO,H.BUBBA TAPE,snacks
84,LiDL,Organic Vine Tomato,groceries
85,TESCO,DRIED YEAST,groceries
86,TESCO,PORK SLICES,groceries
87,LiDL,Tomatoes,groceries
