store_name,item_name,category
Vapouriz,NORD 2 POD KIT BY SMOK / 7 COLOUR COBRA,nicotine
Vapouriz,PRICE MATCH,nicotine
T4,Fried Chicken Popcorns,eating out
T4,Mango Royal Tea,drinks
T4,- L - Royal Tea,drinks
T4,- White Pe,drinks
T4,Jadeite Royal Tea,drinks
T4,- Pearl,drinks
Simply Fresh,STRAWBERRY TWISTS,snacks
Simply Fresh,NEW REGULAR LATTE,drinks
TESCO,SPRKLING WAT,drinks
TESCO,BEEF MINCE REDUCED PRICE,groceries
TESCO,BEEF MINCE REDUCED PRICE,groceries
TESCO,BAKE BAG,homeware
TESCO,CHICKEN,groceries
TESCO,PASTA,groceries
TESCO,POTATO SHAPES,groceries
TESCO,PASTA,groceries
TESCO,GARLIC GRANU,groceries
TESCO,COOKED HAM,groceries
TESCO,CC Chicken,groceries
TESCO,CC Bake bag,homeware
TESCO,CC Potato shapes,groceries
WAITROSE & PARTNERS,TANGERINES,groceries
WAITROSE & PARTNERS,TANGERINES,groceries
WAITROSE & PARTNERS,WR AA SIRLOIN STEAK,groceries
WAITROSE & PARTNERS,WR SALMN TAIL FILLTS,groceries
WAITROSE & PARTNERS,WR 2 RUMP BURGERS,groceries
WAITROSE & PARTNERS,WR 2 RUMP BURGERS,groceries
WAITROSE & PARTNERS,WR ESS CHICK DRMSTKS,groceries
WAITROSE & PARTNERS,WAKAME SALAD,groceries
WAITROSE & PARTNERS,Burgers 2 for £7.50,groceries
WAITROSE & PARTNERS,2 for £4 2 for £4,groceries
WAITROSE & PARTNERS,MPF 3 for £10,groceries
TESCO,SESAME BAGELS,groceries
TESCO,YOGURT FLAKE,groceries
TESCO,OPTIONS DRINK,drinks
TESCO,MULTIPACK CRSP,snacks
TESCO,ACTIMEL 12PK,drinks
TESCO,CEREAL,groceries
TESCO,LATTE DRINK,drinks
TESCO,LEMONADE,drinks
TESCO,PEPSI COLA,drinks
TESCO,BACON RASHERS,groceries
TESCO,RED LEICESTER,groceries
TESCO,BRIOCHE,groceries
TESCO,RIPE BANANAS,groceries
TESCO,HAND WASH,personal hygiene
TESCO,F/RANGE EGGS,groceries
TESCO,HAND WASH,personal hygiene
TESCO,YAKULT DRINK,drinks
TESCO,TOOTHBRUSH,personal hygiene
TESCO,LURPAK BUTTER,groceries
TESCO,CC Latte drink,drinks
TESCO,CC Latte drink,drinks
TESCO,CC Latte drink,drinks
TESCO,CC Latte drink,drinks
TESCO,CC Hand wash,personal hygiene
TESCO,CC Hand wash,personal hygiene
TESCO,CC Options drink,drinks
TESCO,CC CHEDDAR 2 FOR u3,groceries
TESCO,CAFE LATTE,drinks
TESCO,CAFE LATTE,drinks
TESCO,CAFE LATTE,drinks
TESCO,CAFE LATTE,drinks
TESCO,CHINESE LEAF,groceries
TESCO,PORK SLICES,groceries
TESCO,SALMON FILLETS,groceries
