,item name,category
0,nord pod kit smok colour cobra,nicotine
1,price match,nicotine
2,fri chicken popcorn,eating out
3,mango royal tea,drinks
4,larg,drinks
5,white pearl,drinks
6,jadeit royal tea,other
7,pearl,other
8,strawberri twist,snacks
9,new regular latt,drinks
10,sprkling wat,drinks
11,beef minc,groceries
12,beef minc,groceries
13,bake bag,homeware
14,chicken,groceries
15,pasta,groceries
16,potato shape,groceries
17,pasta,groceries
18,garlic granu,groceries
19,cook ham,groceries
20,cc chicken,groceries
21,cc bake bag,homeware
22,cc potato shape,groceries
23,tangerin,groceries
24,tangerin,groceries
25,wr aa sirloin steak,groceries
26,wr salmn tail fillt,groceries
27,wr rump burger,groceries
28,wr rump burger,groceries
29,wr ess chick drmstk,groceries
30,wakam salad,groceries
31,burger,groceries
32,,groceries
33,mpf,groceries
34,sesam bagel,groceries
35,yogurt flake,groceries
36,option drink,drinks
37,multipack crsp,snacks
38,actimel pk,drinks
39,cereal,groceries
40,latt drink,drinks
41,lemonad,drinks
42,pepsi cola,drinks
43,bacon rasher,groceries
44,red leicest,groceries
45,brioch,groceries
46,ripe banana,groceries
47,hand wash,hygiene
48,frang egg,groceries
49,hand wash,hygiene
50,yakult drink,drinks
51,toothbrush,hygiene
52,lurpak butter,groceries
53,cc latt drink,drinks
54,cc latt drink,drinks
55,cc latt drink,drinks
56,cc latt drink,drinks
57,cc hand wash,hygiene
58,cc hand wash,hygiene
59,option drink,drinks
60,cheddar u,groceries
61,cafe latt,drinks
62,cafe latt,drinks
63,cafe latt,drinks
64,cafe latt,drinks
65,chine leaf,groceries
66,pork slice,groceries
67,salmon fillet,groceries
68,prawn,groceries
69,salmon fillet,groceries
70,milkshak,drinks
71,english butter,groceries
72,season veg,groceries
73,season veg,groceries
74,season veg,groceries
75,soft chee,groceries
76,soft chee,groceries
77,juic drink,drinks
78,juic drink,drinks
79,twin sweetcorn,groceries
80,twin sweetcorn,groceries
81,pork sausag,groceries
82,roast chicken,groceries
83,okra,groceries
84,chilli chee,groceries
85,chicken thigh,groceries
86,frang egg,groceries
87,chicken thigh,groceries
88,cc prawn,groceries
89,cc milkshak,drinks
90,cc veget cf,groceries
91,ice coff,drinks
92,ckn drumstick,groceries
93,trainer liner,clothes
94,pork snack,snacks
95,crisp,snacks
96,ice lolli,snacks
97,pea,groceries
98,mini egg bar,snacks
99,chocol,snacks
100,scratch,snacks
101,prawn,groceries
102,actimel pk,drinks
103,fresh milk,groceries
104,ginger cake,snacks
105,ice cream,snacks
106,ice cream,snacks
107,bread,groceries
108,egg,groceries
109,pizza,groceries
110,tesco grlcg,groceries
111,crisp,snacks
112,condit,hygiene
113,ckn nugget,groceries
114,ckn nugget,groceries
115,lime jelli,snacks
116,sberri jelli,snacks
117,orang jelli,snacks
118,tuna,groceries
119,ny bagel,groceries
120,coff bean,drinks
121,smoke streaki,groceries
122,bacon,groceries
123,mini egg bar,snacks
124,berlinki,groceries
125,,snacks
126,pizza,groceries
127,black pud,groceries
128,fresh milk,groceries
129,bodi wash,hygiene
130,cake decor,groceries
131,sausag,groceries
132,beef minc,groceries
133,cc pizza,groceries
134,cc pizza,groceries
135,cc cake decor,groceries
136,cc condit,hygiene
137,cc,snacks
138,cc ice cream,snacks
139,cc ice cream,snacks
140,cc ice lolli,snacks
141,cc ginger cake,snacks
142,cc coff bean,drinks
143,cc crisp,snacks
