,store name,item name,category
0,vapouriz,nord pod kit smok colour cobra,nicotine
1,vapouriz,price match,nicotine
2,t4,fri chicken popcorn,eating out
3,t4,mango royal tea,drinks
4,t4,larg,drinks
5,t4,white pearl,drinks
6,t4,jadeit royal tea,other
7,t4,pearl,other
8,simply fresh,strawberri twist,snacks
9,simply fresh,new regular latt,drinks
10,tesco,sprkling wat,drinks
11,tesco,beef minc,groceries
12,tesco,beef minc,groceries
13,tesco,bake bag,homeware
14,tesco,chicken,groceries
15,tesco,pasta,groceries
16,tesco,potato shape,groceries
17,tesco,pasta,groceries
18,tesco,garlic granu,groceries
19,tesco,cook ham,groceries
20,tesco,chicken,groceries
21,tesco,bake bag,homeware
22,tesco,potato shape,groceries
23,waitrose  partners,tangerin,groceries
24,waitrose  partners,tangerin,groceries
25,waitrose  partners,aa sirloin steak,groceries
26,waitrose  partners,salmn tail fillt,groceries
27,waitrose  partners,rump burger,groceries
28,waitrose  partners,rump burger,groceries
29,waitrose  partners,ess chick drmstk,groceries
30,waitrose  partners,wakam salad,groceries
31,waitrose  partners,burger,groceries
32,waitrose  partners,,groceries
33,waitrose  partners,mpf,groceries
34,tesco,sesam bagel,groceries
35,tesco,yogurt flake,groceries
36,tesco,option drink,drinks
37,tesco,multipack crsp,snacks
38,tesco,actimel pk,drinks
39,tesco,cereal,groceries
40,tesco,latt drink,drinks
41,tesco,lemonad,drinks
42,tesco,pepsi cola,drinks
43,tesco,bacon rasher,groceries
44,tesco,red leicest,groceries
45,tesco,brioch,groceries
46,tesco,ripe banana,groceries
47,tesco,hand wash,hygiene
48,tesco,frang egg,groceries
49,tesco,hand wash,hygiene
50,tesco,yakult drink,drinks
51,tesco,toothbrush,hygiene
52,tesco,lurpak butter,groceries
53,tesco,latt drink,drinks
54,tesco,latt drink,drinks
55,tesco,latt drink,drinks
56,tesco,latt drink,drinks
57,tesco,hand wash,hygiene
58,tesco,hand wash,hygiene
59,tesco,option drink,drinks
60,tesco,cheddar u,groceries
61,tesco,cafe latt,drinks
62,tesco,cafe latt,drinks
63,tesco,cafe latt,drinks
64,tesco,cafe latt,drinks
65,tesco,chines leaf,groceries
66,tesco,pork slice,groceries
67,tesco,salmon fillet,groceries
68,tesco,prawn,groceries
69,tesco,salmon fillet,groceries
70,tesco,milkshak,drinks
71,tesco,english butter,groceries
72,tesco,season veg,groceries
73,tesco,season veg,groceries
74,tesco,season veg,groceries
75,tesco,soft chees,groceries
76,tesco,soft chees,groceries
77,tesco,juic drink,drinks
78,tesco,juic drink,drinks
79,tesco,twin sweetcorn,groceries
80,tesco,twin sweetcorn,groceries
81,tesco,pork sausag,groceries
82,tesco,roast chicken,groceries
83,tesco,okra,groceries
84,tesco,chilli chees,groceries
85,tesco,chicken thigh,groceries
86,tesco,frang egg,groceries
87,tesco,chicken thigh,groceries
88,tesco,prawn,groceries
89,tesco,milkshak,drinks
90,tesco,veget cf,groceries
91,tesco,ice coffe,drinks
92,tesco,ckn drumstick,groceries
93,tesco,trainer liner,clothes
94,tesco,pork snack,snacks
95,tesco,crisp,snacks
96,tesco,ice lolli,snacks
97,tesco,pea,groceries
98,tesco,mini egg bar,snacks
99,tesco,chocol,snacks
100,tesco,scratch,snacks
101,tesco,prawn,groceries
102,tesco,actimel pk,drinks
103,tesco,fresh milk,groceries
104,tesco,ginger cake,snacks
105,tesco,ice cream,snacks
106,tesco,ice cream,snacks
107,tesco,bread,groceries
108,tesco,egg,groceries
109,tesco,pizza,groceries
110,tesco,tesco grlcg,groceries
111,tesco,crisp,snacks
112,tesco,condition,hygiene
113,tesco,ckn nugget,groceries
114,tesco,ckn nugget,groceries
115,tesco,lime jelli,snacks
116,tesco,sberri jelli,snacks
117,tesco,orang jelli,snacks
118,tesco,tuna,groceries
119,tesco,ny bagel,groceries
120,tesco,coffe bean,drinks
121,tesco,smoke streaki,groceries
122,tesco,bacon,groceries
123,tesco,mini egg bar,snacks
124,tesco,berlinki,groceries
125,tesco,top,snacks
126,tesco,pizza,groceries
127,tesco,black pud,groceries
128,tesco,fresh milk,groceries
129,tesco,bodi wash,hygiene
130,tesco,cake decor,groceries
131,tesco,sausag,groceries
132,tesco,beef minc,groceries
133,tesco,pizza,groceries
134,tesco,pizza,groceries
135,tesco,cake decor,groceries
136,tesco,condition,hygiene
137,tesco,top,snacks
138,tesco,ice cream,snacks
139,tesco,ice cream,snacks
140,tesco,ice lolli,snacks
141,tesco,ginger cake,snacks
142,tesco,coffe bean,drinks
143,tesco,crisp,snacks
144,tesco,actimel pk,drinks
145,tesco,fruit gum,snacks
146,tesco,soft drink,drinks
147,tesco,chocol,snacks
148,tesco,chicken swich,eating out
149,tesco,bunt metr,homeware
150,tesco,crisp,snacks
151,tesco,chocol,snacks
152,tesco,chocol,snacks
153,tesco,meal deal,eating out
154,tesco,chocol,snacks
155,tesco,chocol,snacks
156,tesco,egg,groceries
157,tesco,gateau bar,snacks
158,tesco,kitkat chunki,snacks
159,tesco,kipl,snacks
160,tesco,chocol,snacks
161,tesco,frang egg,groceries
162,tesco,parsley,groceries
163,tesco,fresh milk,groceries
164,tesco,spicesherb,groceries
165,tesco,croissant,groceries
166,tesco,sausag slice,groceries
167,tesco,chicken,groceries
168,tesco,butternut soup,groceries
169,tesco,chocol cake,snacks
170,tesco,cake,snacks
171,tesco,burger bun,groceries
172,tesco,smoke streaki,groceries
173,tesco,bacon rasher,groceries
174,tesco,choc eclair,snacks
175,tesco,pain au raisin,groceries
176,tesco,km white med,groceries
177,tesco,black pud,groceries
178,tesco,haddock,groceries
179,tesco,platter,groceries
180,tesco,mozzarella,groceries
181,tesco,conti meat,groceries
182,tesco,minc beef,groceries
183,tesco,wholem,groceries
184,tesco,gem lettuc,groceries
185,tesco,onion kg,groceries
186,tesco,creme caramel,snacks
187,tesco,yakult drink,drinks
188,tesco,ginger nut,snacks
189,tesco,cereal,groceries
190,tesco,salad tomato,groceries
191,tesco,kabano,groceries
192,tesco,aubergin,groceries
193,tesco,ginger nut,snacks
194,tesco,potato,groceries
195,tesco,chees slice,groceries
196,tesco,peanut butter,groceries
197,tesco,berlinki,groceries
198,tesco,berlinki,groceries
199,tesco,pork slice,groceries
200,tesco,bbq sauc,groceries
201,tesco,fresh milk,groceries
202,tesco,butternut soup,groceries
203,tesco,berlinki,groceries
204,tesco,berlinki,groceries
205,tesco,slice,groceries
206,tesco,cake,snacks
207,tesco,chocol cake,snacks
208,tesco,haddock,groceries
209,tesco,deli share u,groceries
210,lidl,corn cob loo,groceries
211,lidl,marvel tomato,groceries
212,lidl,rainbow tomato,groceries
213,lidl,extra larg onion,groceries
214,lidl,asparagu tip,groceries
215,lidl,soft medium white,groceries
216,lidl,delux blueberri,groceries
217,lidl,mini cucumb,groceries
218,lidl,garlic,groceries
219,tesco,kellogg crunchi nut chocol cluster g,groceries
220,tesco,fairi origin wash liquid ml,cleaning
221,tesco,feast chocol ice cream x ml,snacks
222,tesco,tesco raw king prawn g,groceries
223,tesco,tesco british chicken thigh fillet kg,groceries
224,tesco,tesco pork lean minc fat g,groceries
225,tesco,tesco salad tomato pack,groceries
226,tesco,ben jerri bake alaska vanilla ice cream ml,snacks
227,tesco,tesco corn cob twinpack,groceries
228,tesco,tesco spirali pasta g,groceries
229,tesco,tesco rocket chilli g,groceries
230,tesco,ice cream,snacks
231,osprey london,mschestnut malham ns coin wallet glaze calf colour chestnut,clothes
232,waitrose  partners,bchicken wing,groceries
233,waitrose  partners,ess thigh fillet,groceries
234,waitrose  partners,ess beef burger,groceries
235,waitrose  partners,beef fri steak,groceries
236,waitrose  partners,sea bream fillet,groceries
237,waitrose  partners,salmn tail fillt,groceries
238,waitrose  partners,v ckitten eton mess,snacks
239,waitrose  partners,chick jamb soup,groceries
240,waitrose  partners,tangerin,groceries
241,waitrose  partners,v twix twin bar,snacks
242,waitrose  partners,ess hot cross bun,groceries
243,waitrose  partners,gress spatchcock,groceries
244,waitrose  partners,blueb,groceries
245,waitrose  partners,belgn bttr wffle,groceries
246,waitrose  partners,mpfe,groceries
247,tesco,tesco grlcg,groceries
248,tesco,yogurt,groceries
249,tesco,tesco grlcg,groceries
250,tesco,chicken drum,groceries
251,tesco,frang egg,groceries
252,tesco,mullcdrspic,groceries
253,tesco,dri yeast,groceries
254,tesco,potato,groceries
255,tesco,pork slice,groceries
256,tesco,cafe latt,drinks
257,tesco,cafe latt,drinks
258,tesco,cafe latt,drinks
259,tesco,cafe latt,drinks
260,tesco,w g dan wht,groceries
261,tesco,bread,groceries
262,tesco,lamb chop,groceries
263,tesco,lamb chop,groceries
264,tesco,lamb chop,groceries
265,tesco,lamb chop,groceries
266,aldi,ferrero,snacks
267,aldi,drkwhte choc g,groceries
268,aldi,drkwhte choc g,groceries
269,aldi,drkwhte choc g,groceries
270,aldi,maoam mixx,snacks
271,aldi,salt tabl g,groceries
272,aldi,lemon unwax,groceries
273,aldi,tuna brine g,groceries
274,aldi,tuna brine g,groceries
275,aldi,tuna brine g,groceries
276,aldi,tuna brine g,groceries
277,aldi,maoam mixx,snacks
278,aldi,turkish delight,snacks
279,aldi,potato mini roast,groceries
280,aldi,potato mini roast,groceries
281,aldi,rosemari cut,groceries
282,aldi,thyme cut,groceries
283,aldi,stacker scbbq,snacks
284,aldi,peanut salt,snacks
285,aldi,xma puff ball,snacks
286,aldi,snack mix tray,snacks
287,aldi,snack mix tray,snacks
288,aldi,wine red spanish,alcohol
289,aldi,honey jar g,groceries
290,aldi,wine red spanish,alcohol
291,aldi,satsuma king,groceries
292,lidl,sea salt mill,homeware
293,lidl,sweet shop favourit,snacks
294,lidl,premium orang,groceries
295,lidl,men hydra ener scrub,hygiene
296,lidl,bake soda g,groceries
297,lidl,banana pack,groceries
298,lidl,kinder joy,snacks
299,lidl,british unsal butter,groceries
300,lidl,frost flake,groceries
301,lidl,whole goos,groceries
302,costa,latt regular,drinks
303,tesco,slice bloom,groceries
304,tesco,brown sugar,groceries
305,tesco,honey,groceries
306,tesco,jalfrezi sauc,groceries
307,tesco,ice cream,snacks
308,tesco,yogurt,groceries
309,tesco,chocol,snacks
310,tesco,mini egg bar,snacks
311,tesco,fruit juic,drinks
312,tesco,clementin,groceries
313,tesco,ripe banana,groceries
314,tesco,frang egg,groceries
315,tesco,bread,groceries
316,tesco,egg,groceries
317,tesco,ginger cake,snacks
318,tesco,cheddar,groceries
319,tesco,fruit juic,drinks
320,tesco,red leicest,groceries
321,tesco,smoke salmon,groceries
322,tesco,condition,hygiene
323,tesco,red pepper,groceries
324,tesco,black pud,groceries
325,tesco,unsalt butter,groceries
326,tesco,golden syrup,groceries
327,tesco,coffe bean,groceries
328,tesco,ripe avo pk,groceries
329,tesco,pork sausag,groceries
330,tesco,sugar,groceries
331,tesco,chicken thigh,groceries
332,tesco,ice cream,snacks
333,tesco,cup,homeware
334,tesco,biscuit,snack
335,tesco,unsalt butter,groceries
336,tesco,gum,snacks
337,tesco,lyche drink,drinks
338,tesco,lyche drink,drinks
339,tesco,frsh dbl crm,groceries
340,tesco,fruit juic,drinks
341,tesco,golden syrup,groceries
342,tesco,ice cream,snacks
343,tesco,ice cream,snacks
344,tesco,lyche drink,drinks
345,tesco,lyche drink,drinks
346,tesco,jalfrezi sauc,snacks
347,currys pc world,soni wfc g rn,electrical
348,tesco,caddi liner,cleaning
349,tesco,berlinki,groceries
350,tesco,frsh whpg crm,groceries
351,tesco,fresh milk,groceries
352,tesco,cartridg,other
353,tesco,steel garlic,homeware
354,tesco,smoke streaki,groceries
355,tesco,cereal,groceries
356,tesco,cereal,groceries
357,tesco,cartridg,other
358,tesco,berlinki,groceries
359,taco bell,que box,eating out
360,taco bell,guacamol sgl shot,eating out
361,lidl,custard cream biscu,snacks
362,lidl,muffin triplechoc,snacks
363,lidl,fr larg egg,groceries
364,lidl,garlic,groceries
365,lidl,medallion steak g,groceries
366,lidl,tomato,groceries
367,lidl,onion,groceries
368,lidl,white toasti,groceries
369,lidl,green tee honey,drinks
370,lidl,arizona ice tea,drinks
371,lidl,green tee pomegrana,drinks
372,lidl,tomato passata,groceries
373,lidl,green tee peach,drinks
374,lidl,spring onion,groceries
375,lidl,beef brisket joint,groceries
376,lidl,pak choi pk,groceries
377,lidl,echalion shallot,groceries
378,lidl,loos bake potat,groceries
379,lidl,white toasti discount,groceries
380,ta shake shack,meistershack,eating out
381,ta shake shack,bite,eating out
382,ta shake shack,choc queen sng,eating out
383,greggs,sausag roll,eating out
384,greggs,chicken bake,eating out
385,greggs,handl paper bag,homeware
386,lidl,beef brisket joint,groceries
387,lidl,medium avocado,groceries
388,lidl,green tea plum,drinks
389,lidl,green tea honey,drinks
390,lidl,green tea pomegranat,drinks
391,lidl,green tea blueberri,drinks
392,lidl,green peach,drinks
393,lidl,wash babi spinach,groceries
394,lidl,sweet mix pepper,groceries
395,lidl,garlic,groceries
396,lidl,mento chupa babol,snacks
397,lidl,frijj cooki dough,drinks
398,lidl,marblebriochevanilla,groceries
399,lidl,tenderstem broccoli,groceries
400,lidl,chicken thigh fillet,groceries
401,lidl,alexandra potato,groceries
402,lidl,valentina tomato,groceries
403,lidl,organ vine tomato,groceries
404,lidl,cucumb,groceries
405,lidl,danon actimel straw,drinks
406,lidl,bell ibuprofen,health & pharmacy
407,lidl,lamb loin chop,groceries
408,lidl,frylight coconut oil,groceries
409,lidl,peperami jerki,snacks
410,lidl,smoke salmon,groceries
411,lidl,organ carrot,groceries
412,lidl,fresh corn,groceries
413,lidl,paracetamol caplet,health & pharmacy
414,lidl,pomegran,groceries
415,lidl,mango,groceries
416,lidl,msc wild salmon,groceries
417,lidl,mapl pecanplait,groceries
418,tesco,ckn drumstick,groceries
419,tesco,ice cream,snacks
420,tesco,ice cream,snacks
421,tesco,towel,hygiene
422,tesco,towel,hygiene
423,tesco,tortilla chip,snacks
424,tesco,yoghut,snacks
425,tesco,frang egg,groceries
426,tesco,brioch roll,groceries
427,tesco,potato,groceries
428,tesco,nutella,groceries
429,tesco,red pepper,groceries
430,tesco,nut,snacks
431,tesco,tzipseal bag,homeware
432,tesco,cafe latt,drinks
433,tesco,caff latt,drinks
434,tesco,cook sauc,groceries
435,tesco,ice cream,snacks
436,tesco,avocado,groceries
437,tesco,waffl,snacks
438,tesco,spinach,groceries
439,tesco,refus sack,cleaning
440,tesco,chicken thigh,groceries
441,tesco,chocol,snacks
442,tesco,cereal,groceries
443,tesco,towel,hygiene
444,tesco,littl gem twin,groceries
445,tesco,towel,hygiene
446,tesco,spring onion,groceries
447,tesco,twin sweetcorn,groceries
448,tesco,cafe latt,drinks
449,tesco,kitchen towel,cleaning
450,tesco,nutella,groceries
451,tesco,tortilla chip,snacks
452,tesco,nute,snacks
453,tesco,kitchen towel,cleaning
454,tesco,ice cream,snacks
455,tesco,ice cream,snacks
456,tesco,ice cream,snacks
457,tesco,pitch,groceries
458,tesco,chicken sauc,groceries
459,tesco,potato,groceries
460,house of fraser,nicc expo jkt sn,clothes
461,tea terrace,smoke salmon salad,eating out
462,tea terrace,cream tea,eating out
463,tea terrace,option gratuiti,eating out
464,evapo,smok rpm coil,nicotine
465,evapo,nasti juic ns cushman,nicotine
466,evapo,coil multi buy,nicotine
467,lidl,budweis,alcohol
468,lidl,medium loaf white,groceries
469,lidl,grapefruit loos,groceries
470,lidl,chocol chip cooki,snacks
471,lidl,macker sunflow,groceries
472,lidl,lemon cake,snacks
473,lidl,veget oil,groceries
474,lidl,tuna brine,groceries
475,lidl,frijj cooki dough,drinks
476,lidl,smoke bacon,groceries
477,lidl,dc na app b curran,drinks
478,lidl,bbq sauc,groceries
479,lidl,clear honey,groceries
480,lidl,columbian coffe,drinks
481,lidl,british pork sausag,groceries
482,lidl,chi breastfil g,groceries
483,waitrose  partners,easi peeler,groceries
484,waitrose  partners,easi peeler,groceries
485,waitrose  partners,bchicken wing,groceries
486,waitrose  partners,salmn tail fillt,groceries
487,waitrose  partners,msc keta salmon,groceries
488,waitrose  partners,aa rump steak,groceries
489,waitrose  partners,wakam salad,eating out
490,waitrose  partners,new regular latt,drinks
491,waitrose  partners,fruit,groceries
492,waitrose  partners,mpf,groceries
493,tesco,sweet,snacks
494,tesco,gummi sweet,snacks
495,tesco,mini egg,snacks
496,tesco,pork sausag,groceries
497,tesco,cereal,groceries
498,tesco,hbubba tape,snacks
