,store_name,item_name,category
0,waitrose   partners,gress spatchcock,groceries
1,tesco,pizza,groceries
2,tesco,bacon rashers,groceries
3,lidl,asparagus tips,groceries
4,simply fresh,strawberry twists,snacks
5,tesco,potato shapes,groceries
6,tesco,cartridges,electrical
7,lidl,marblebriochevanilla,groceries
8,tesco,fresh milk,groceries
9,tesco,sausages,groceries
10,tesco,gateau bar,snacks
11,tesco,medium free range eggs pack,groceries
12,tesco,slices,groceries
13,oxfam,popular fiction,entertainment
14,tesco,spirali pasta <UNIT_SOLID>,groceries
15,tesco,cheddar,groceries
16,tesco,kitchen towels,cleaning & laundry
17,tesco,prawns,groceries
18,tesco,cafe latte,drinks
19,tesco,potatoes,groceries
20,sainsbury s,walkers max <UNIT_SOLID>,snacks
21,tesco,pork sausage,groceries
22,tesco,juice drink,drinks
23,tesco,chicken,groceries
24,lidl,grapefruit loose,groceries
25,tesco,potatoes,groceries
26,tesco,crisps,snacks
27,sushi jun,seard salmon roll,eating out
28,tesco,ginger cake,snacks
29,t k maxx,mens jersey,clothes & accessories
30,t4,<UNIT_LIQUID> royal tea,drinks
31,tesco,fruit juice,drinks
32,tesco,nuts,snacks
33,lidl,garlic,groceries
34,osprey london,ms chestnut malham coin wallet glazed calf colour chestnut,clothes & accessories
35,tesco,cravendale filtered whole milk litre,groceries
36,tesco,cereal,groceries
37,lidl,lemon cake,snacks
38,lidl,msc wild salmon,groceries
39,tesco,bunting metre,homeware
40,tesco,chocolate,snacks
41,tesco,haddock,groceries
42,tesco,lamb chops,groceries
43,tesco,golden syrup,groceries
44,tesco,sweets,snacks
45,tesco,choc crepes,groceries
46,t4,mango royal tea,drinks
47,tesco,yakult drink,drinks
48,tesco,chicken sauce,groceries
49,tesco,mozzarella,groceries
50,tesco,ice cream,snacks
51,tesco,potatoes,groceries
52,t k maxx,accessories lifestyle,clothes & accessories
53,tesco,parsley,groceries
54,tesco,frsh dbl crm,groceries
55,aldi,lemons unwaxed,groceries
56,tesco,grlc <UNIT_SOLID>,groceries
57,www itsu com,<UNIT> egg,eating out
58,tesco,yogurt,groceries
59,t k maxx,mens essentials,clothes & accessories
60,tesco,towels,personal hygiene
